1778362067,1,1,0
1778362083,1,1,0
1778362083,1,2,2
1778362083,1,3,2
1778362083,1,4,3
1778362083,2,1,7
1778362083,2,2,7
1778362083,2,3,14
1778362251,1,1,0
1778362251,1,2,3
1778362296,1,1,0
1778362296,1,2,1
1778362296,1,3,2
1778362296,1,4,7
1778362296,2,1,7
1778362419,1,1,1
1778362419,1,2,2
1778362419,1,3,1
1778362419,1,4,9
1778362419,2,1,7
1778362419,2,2,6
1778362419,2,3,10
1778362660,1,1,0
1778362660,1,2,2
1778362660,1,3,3
1778362660,1,4,4
1778362660,2,1,7
1778362660,2,2,7
1778362660,2,3,14
1778367799,1,1,0
1778418459,1,1,0
1778418459,1,2,1
1778418498,1,1,0
1778418510,1,1,0
1778418510,1,2,1
1778418526,1,1,0
1778418540,1,1,0
1778418540,1,2,1
1778418540,1,3,3
1778418580,1,1,0
1778418580,1,1,0
1778418580,1,1,0
1778418580,1,1,0
1778418582,1,1,0
1778418595,1,1,0
1778418609,1,1,0
1778418612,1,1,0
1778418619,1,1,0
1778418619,1,2,1
1778418619,1,3,1
1778418619,1,4,7
1778418619,2,1,5
1778418619,2,2,7
1778418619,2,3,6
1778418779,1,1,0
1778418779,1,2,2
1778418779,1,3,1
1778418779,1,4,2
1778418779,2,1,5
1778418779,2,2,7
1778418779,2,3,13
1778419788,1,1,0
1778419804,1,1,0
1778419804,1,2,1
1778419838,1,1,0
1778419841,1,1,0
1778419841,1,1,0
1778419841,1,1,0
1778419841,1,1,0
1778419842,1,1,0
1778419842,1,1,0
1778419842,1,1,0
1778419842,1,1,0
1778419856,1,1,0
1778419858,1,1,0
1778419858,1,1,0
1778419858,1,1,0
1778419880,1,1,0
1778419880,1,2,2
1778419921,1,1,0
1778419921,1,2,0
1778419921,1,3,1
1778419921,1,4,9
1778419921,2,1,6
1778419921,2,2,2
1778419921,2,3,8
1778420062,1,1,0
1778420062,1,2,1
1778420062,1,3,0
1778420062,1,4,0
1778420062,2,1,6
1778420062,2,2,5
1778420062,2,3,8
1778420199,1,1,0
1778420199,1,2,2
1778420199,1,3,1
1778420199,1,4,0
1778420282,1,1,0
1778420282,1,2,2
1778420282,1,3,1
1778420282,1,4,0
1778420282,2,1,5
1778420282,2,2,6
1778420282,2,3,8
1778420422,1,1,0
1778420426,1,1,0
1778420427,1,1,0
1778420427,1,1,0
1778420429,1,1,0
1778420429,1,2,1
1778420451,1,1,0
1778420451,1,1,0
1778420451,1,2,1
1778420451,1,3,1
1778420451,1,4,0
1778420451,2,1,6
1778420451,2,2,3
1778420451,2,3,7
1778420966,1,1,0
1778421116,1,1,0
1778421116,1,2,1
1778421116,1,3,2
1778421116,1,4,0
1778421116,2,1,6
1778421116,2,2,4
1778421116,2,3,6
1778421376,1,1,0
