1778362067,3.598,basic,3,5,1,1
1778362067,4.207,basic,1,4,1,1
1778362067,4.7,basic,3,3,1,1
1778362067,6.295,multi,1,5,1,1
1778362067,6.652,multi,3,4,1,1
1778362067,10.057,multi,1,3,1,1
1778362083,3.679,multi,3,3,1,1
1778362083,4.288,multi,1,4,1,1
1778362083,4.781,multi,3,5,1,1
1778362083,6.104,basic,3,4,1,1
1778362083,6.563,basic,1,5,1,1
1778362083,11.064,sniper,3,10,1,2
1778362083,16.563,basic,1,3,1,2
1778362083,27.016,stun,1,9,1,3
1778362083,32.732,basic,7,7,1,3
1778362083,42.557,sniper,3,9,1,3
1778362083,47.18,sniper,1,10,1,3
1778362083,49.339,sniper,3,11,1,3
1778362083,49.931,sniper,1,11,1,3
1778362083,56.434,sniper,1,12,1,4
1778362083,57.095,sniper,2,13,1,4
1778362083,57.521,sniper,3,13,1,4
1778362083,89.307,multi,8,5,2,1
1778362083,90.056,multi,6,4,2,1
1778362083,90.651,multi,8,3,2,1
1778362083,93.37,stun,5,6,2,1
1778362083,96.016,sniper,8,6,2,2
1778362083,96.305,sniper,8,7,2,2
1778362083,96.66,sniper,8,8,2,2
1778362083,97.491,sniper,5,7,2,2
1778362083,99.957,sniper,5,5,2,2
1778362083,106.769,multi,8,4,2,2
1778362083,107.568,multi,8,2,2,2
1778362083,117.12,sniper,6,9,2,3
1778362083,117.509,sniper,6,10,2,3
1778362083,118.575,sniper,5,10,2,3
1778362083,122.094,sniper,5,9,2,3
1778362083,137.473,basic,5,4,2,3
1778362083,138.355,basic,5,3,2,3
1778362083,141.404,basic,6,1,2,3
1778362083,142.862,basic,7,1,2,3
1778362251,6.928,multi,7,10,1,1
1778362251,7.86,multi,9,11,1,1
1778362251,8.539,multi,9,9,1,1
1778362251,11.305,multi,7,8,1,2
1778362251,13.51,basic,9,10,1,2
1778362251,19.592,basic,7,9,1,2
1778362251,29.95,basic,9,12,1,2
1778362251,39.518,sniper,9,8,1,3
1778362296,4.632,basic,3,5,1,1
1778362296,5.04,basic,3,4,1,1
1778362296,5.415,basic,3,3,1,1
1778362296,5.991,basic,1,4,1,1
1778362296,6.246,basic,1,5,1,1
1778362296,9.185,basic,1,3,1,1
1778362296,13.228,basic,3,2,1,2
1778362296,22.927,basic,1,2,1,2
1778362296,28.363,basic,7,7,1,3
1778362296,31.815,stun,1,9,1,3
1778362296,39.314,basic,3,9,1,3
1778362296,41.217,basic,3,10,1,3
